year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
2015,2015,1801001PD,1801001E,2026.883807,163.1,0,2026.883807
2015,2015,1801003PD,1801003E,1054.469865,163.1,0,1054.469865
2015,2015,1801007PD,1801007E,2028.534869,163.1,0,2028.534869
2015,2015,1801009PD,1801009E,3280.641112,163.1,0,3280.641112
2015,2015,1801009PD,1801017PD,541.3898246,0,0,0
2015,2015,1801011PD,1801011E,1211.075212,163.1,0,1211.075212
2015,2015,1801013NPD,1801013E,30,195.72,0,30
2015,2015,1801013PD,1801013E,1644,163.1,0,1644
2015,2015,1801013TREC,1801013NPD,30,0,236,0
2015,2015,1801015WIMP,1801015WPD,9961.402,87,224,0
2015,2015,1801015WIMP,1801019NPD,94.22348014,25,0,0
2015,2015,1801015WPD,1801001PD,1990.031374,25,0,0
2015,2015,1801015WPD,1801009PD,3280.641112,25,0,0
2015,2015,1801015WPD,1801015WE,9961.402,163.1,0,9961.402
2015,2015,1801015WPD,1801017PD,1134.211683,25,0,0
2015,2015,1801015WPD,1801019PD,443.8470076,25,0,0
2015,2015,1801017PD,1801017E,2270.962733,163.1,0,2270.962733
2015,2015,1801019NPD,1801019E,390.9849352,187.8589045,0,390.9849352
2015,2015,1801019PD,1801001PD,30.71036071,0,0,0
2015,2015,1801019PD,1801019E,443.8470076,163.1,0,443.8470076
2015,2015,1801019SREC,1801019NPD,296.7614551,0,0,0
2015,2015,1801021NPD,1801021E,798,195.72,0,798
2015,2015,1801021PD,1801021E,4957,163.1,0,4957
2015,2015,1801021TREC,1801021NPD,798,0,236,0
2015,2015,1801023NPD,1801023E,140,195.72,0,140
2015,2015,1801023PD,1801023E,16539,163.1,0,16539
2015,2015,1801023TREC,1801023NPD,140,0,236,0
2015,2015,1801027WPD,1801013PD,149.390635,25,0,0
2015,2015,1801027WPD,1801021PD,3529.556822,25,0,0
2015,2015,1801027WPD,1801023PD,15341,25,0,0
2015,2015,1801027WPD,1801027WE,44733,163.1,0,44733
2015,2015,1801027WPD,1801033PD,460.0150919,25,0,0
2015,2015,1801027WPD,1805049PD,5203.161733,25,3,0
2015,2015,1801027WPD,1805067PD,6034,111.5,26,0
2015,2015,1801027WPD,1805071PD,6414.617348,25,0,0
2015,2015,1801027WPD,1805091PD,1588.360499,25,0,0
2015,2015,1801027WPD,1805099PD,1947,25,0,0
2015,2015,1801029PD,1801029E,657.8,165.6162693,0,657.8
2015,2015,1801029SREC,1801029PD,50.74193548,0,0,0
2015,2015,1801031PD,1801031E,2534,163.1,0,2534
2015,2015,1801033NPD,1801033E,535,192.6714019,0,535
2015,2015,1801033PD,1801033E,3048.1,163.1,0,3048.1
2015,2015,1801033TREC,1801033NPD,485,0,236,0
2015,2015,1801035PD,1801035E,1972,163.1,0,1972
2015,2015,1802000PD,1802000E,2154,17.6,0,2154
2015,2015,1802003PD,1802003E,6914,17.6,0,6914
2015,2015,1802005PD,1802005E,18227,17.6,0,18227
2015,2015,1802007PD,1802007E,1151,17.6,0,1151
2015,2015,1802009PD,1802009E,1742,17.6,0,1742
2015,2015,1802011PD,1802011E,2322,202,0,2322
2015,2015,1802013PD,1802013E,290,1000,0,290
2015,2015,1802015PD,1802015E,1044,17.6,0,1044
2015,2015,1802017PD,1802017E,29617,17.6,0,29617
2015,2015,1802019PD,1802019E,7141,17.6,0,7141
2015,2015,1802021PD,1802021E,9974,17.6,0,9974
2015,2015,1802027NPD,1802027E,3095,21.12,0,3095
2015,2015,1802027PD,1802027E,9212,17.6,0,9212
2015,2015,1802027SREC,1802027NPD,3095,0,0,0
2015,2015,1802029PD,1802029E,973.6616062,17.6,0,973.6616062
2015,2015,1802031NPD,1802031E,1128.83237,21.12,0,1128.83237
2015,2015,1802031PD,1802031E,22679,17.6,0,22679
2015,2015,1802031TREC,1802031NPD,1128.83237,0,236,0
2015,2015,1802033PD,1802033E,5311,17.6,0,5311
2015,2015,1802035PD,1802035E,8130,17.6,0,8130
2015,2015,1802037NPD,1802037E,2401.144753,17.6,0,2401.144753
2015,2015,1802037PD,1802037E,22895,17.6,0,22895
2015,2015,1802039PD,1802039E,3586.106958,17.6,0,3586.106958
2015,2015,1802041NPD,1802041E,1895,17.6,0,1895
2015,2015,1802041PD,1802041E,1121,17.6,0,1121
2015,2015,1802043PD,1802037NPD,2401.144753,25,0,0
2015,2015,1802043PD,1802037PD,859.5080893,25,0,0
2015,2015,1802043PD,1802043E,11593.05,17.6,0,11593.05
2015,2015,1802053NPD,1802053E,3300,21.12,0,3300
2015,2015,1802053PD,1802053E,10175,17.6,0,10175
2015,2015,1802053SREC,1802053NPD,3300,0,0,0
2015,2015,1802055PD,1802055E,2796.07,17.6,0,2796.07
2015,2015,1802059NPD,1802059E,120619,17.65708155,0,120619
2015,2015,1802059PD,1802053PD,1996.588675,25,0,0
2015,2015,1802059PD,1802059E,7990,17.6,0,7990
2015,2015,1802059SREC,1802059NPD,1956,0,0,0
2015,2015,1802061PD,1802061E,3105.714504,17.6,0,3105.714504
2015,2015,1802067PD,1802067E,4281,17.6,0,4281
2015,2015,1802069WIMP,1802069WPD,26988,0,224,0
2015,2015,1802069WIMP,1802089WPD,7088.186047,25,224,0
2015,2015,1802069WPD,1802017PD,1939.527108,25,0,0
2015,2015,1802069WPD,1802053PD,7235.46664,25,0,0
2015,2015,1802069WPD,1802069WE,26988,17.6285903,0,26988
2015,2015,1802069WPD,1802081PD,18149.92068,25,0,0
2015,2015,1802069WPD,1802087PD,80,25,0,0
2015,2015,1802073NPD,1802073E,53,21.12,0,53
2015,2015,1802073PD,1802073E,3164,17.6,0,3164
2015,2015,1802073SREC,1802073NPD,53,0,0,0
2015,2015,1802075NPD,1802075E,56,21.12,0,56
2015,2015,1802075PD,1802075E,19001,17.6,0,19001
2015,2015,1802075TREC,1802075NPD,56,0,236,0
2015,2015,1802077PD,1802077E,2109,17.6,0,2109
2015,2015,1802079PD,1802079E,1793,17.6,0,1793
2015,2015,1802081NPD,1802081E,4060,21.12,0,4060
2015,2015,1802081PD,1802081E,22881,17.6,0,22881
2015,2015,1802081TREC,1802081NPD,4060,0,236,0
2015,2015,1802083PD,1802083E,84832,17.6,0,84832
2015,2015,1802083WPD,1802017PD,3011.192717,25,0,0
2015,2015,1802083WPD,1802083WE,1199,17.6,0,1199
2015,2015,1802085NPD,1802085E,745,17.6,0,745
2015,2015,1802085PD,1802085E,28404,17.6,0,28404
2015,2015,1802085TREC,1802085NPD,575,0,236,0
2015,2015,1802085WGW,1802033PD,1913.639684,0,181.75,0
2015,2015,1802085WGW,1802085NPD,170,0,0,0
2015,2015,1802085WGW,1802085PD,26139,0,75.76563755,0
2015,2015,1802085WGW,1802085WPD,2692,0,181.75,0
2015,2015,1802085WPD,1802085WE,2692,17.6,0,2692
2015,2015,1802085WPD,1802091PD,11.95563771,25,0,0
2015,2015,1802087PD,1802087E,27502,17.6,0,27502
2015,2015,1802089PD,1802089E,9666,17.6,0,9666
2015,2015,1802089WPD,1802021PD,9133,25,0,0
2015,2015,1802089WPD,1802035PD,7257,25,0,0
2015,2015,1802089WPD,1802089PD,9666,0,0,0
2015,2015,1802089WPD,1802089WE,30492.72233,17.60156098,0,30492.72233
2015,2015,1802091NPD,1802091E,136,21.12,0,136
2015,2015,1802091PD,1802091E,1617,17.6,0,1617
2015,2015,1802091TREC,1802091NPD,136,0,236,0
2015,2015,1802093WPD,1802093WE,206030,17.6,0,206030
2015,2015,1802093WPD,1805037PD,17643.03625,25,0,0
2015,2015,1802093WPD,1805093PD,3249.952233,87,224,0
2015,2015,1802097PD,1802097E,13205,17.6,0,13205
2015,2015,1802101PD,1802101E,10110.98245,17.6,0,10110.98245
2015,2015,1802103PD,1802103E,8650,17.6,0,8650
2015,2015,1802105NPD,1802105E,365.1976542,21.12,0,365.1976542
2015,2015,1802105PD,1802105E,12978.32672,17.6,0,12978.32672
2015,2015,1802105SREC,1802105NPD,365.1976542,0,0,0
2015,2015,1803001PD,1803001E,1951.812673,17.6,0,1951.812673
2015,2015,1803005NPD,1803005E,733,17.6,0,733
2015,2015,1803005PD,1803005E,35221,17.6,0,35221
2015,2015,1803005WIMP,1803005PD,962.9917976,0,224,0
2015,2015,1803005WIMP,1803005WPD,17586,25,0,0
2015,2015,1803005WIMP,1803009PD,12495.77294,25,699,0
2015,2015,1803005WPD,1803005WE,17586,17.6,0,17586
2015,2015,1803007GW,1803007PD,3145.610046,0,26,0
2015,2015,1803007PD,1803007E,3145.610046,17.6,0,3145.610046
2015,2015,1803009PD,1803009E,55032,321,0,55032
2015,2015,1803013PD,1803013E,688,1000,0,688
2015,2015,1803015PD,1803015E,3952,17.6,0,3952
2015,2015,1803017PD,1803017E,24854,17.6,0,24854
2015,2015,1803019AREC,1803019GW,583.2849397,749,0,583.2849397
2015,2015,1803019GW,1803019PD,8191.524671,26,0,0
2015,2015,1803019NPD,1803019E,2143,21.12,0,2143
2015,2015,1803019PD,1803019E,11704.67405,17.6,0,11704.67405
2015,2015,1803019TREC,1803019NPD,382,25,236,0
2015,2015,1803023NPD,1803023E,6579.69555,18.42089552,0,6579.69555
2015,2015,1803023SREC,1803023NPD,1534.443925,0,0,0
2015,2015,1803027GW,1803027PD,4842.566927,0,26,0
2015,2015,1803027PD,1803027E,4842.566927,17.6,0,4842.566927
2015,2015,1803029PD,1803029E,7502,17.6,0,7502
2015,2015,1803033GW,1803033PD,83360,399,26,0
2015,2015,1803033NPD,1803033E,23600,21.12,0,23600
2015,2015,1803033PD,1803033E,113047,17.6,0,113047
2015,2015,1803033SREC,1803033NPD,8701.403904,0,0,0
2015,2015,1803033TREC,1803033NPD,60.59609593,0,236,0
2015,2015,1803035GW,1803035PD,916,0,181.75,0
2015,2015,1803035PD,1803035E,916,17.6,0,916
2015,2015,1803037NPD,1803037E,4971,21.12,0,4971
2015,2015,1803037PD,1803037E,11640,17.6,0,11640
2015,2015,1803037SREC,1803037NPD,4971,0,0,0
2015,2015,1803039NPD,1803039E,220.9599252,21.12,0,220.9599252
2015,2015,1803039PD,1803039E,2755.861289,17.6,0,2755.861289
2015,2015,1803039SREC,1803039NPD,220.9599252,0,0,0
2015,2015,1803041WGW,1803041WIMP,33649.06298,0,0,0
2015,2015,1803041WIMP,1803005PD,3228.972497,25,224,0
2015,2015,1803041WIMP,1803029PD,4221.074169,25,0,0
2015,2015,1803041WIMP,1803041WPD,45495,0,77.55501768,0
2015,2015,1803041WPD,1803041WE,45495,17.6,0,45495
2015,2015,1803041WPD,1803053WPD,7574,25,0,0
2015,2015,1803045NPD,1803045E,764,21.12,0,764
2015,2015,1803045PD,1803045E,3224.9,17.6,0,3224.9
2015,2015,1803045SREC,1803045NPD,764,0,0,0
2015,2015,1803053WPD,1803053WE,7574,17.6,0,7574
2015,2015,1803053WPD,1803055PD,7574,25,0,0
2015,2015,1803055PD,1803055E,7915,17.6,0,7915
2015,2015,1803063NPD,1803063E,3984.680811,17.6,0,3984.680811
2015,2015,1803067PD,1803067E,4259.616336,17.6,0,4259.616336
2015,2015,1803069PD,1803069E,421,17.6,0,421
2015,2015,1803071GW,1803071PD,1755,0,26,0
2015,2015,1803071NPD,1803071E,220,21.12,0,220
2015,2015,1803071PD,1803071E,1755,17.6,0,1755
2015,2015,1803071SREC,1803071NPD,220,0,0,0
2015,2015,1803073WIMP,1803035GW,116,749,0,116
2015,2015,1803073WIMP,1803073WPD,4520.972222,0,224,0
2015,2015,1803073WNPD,1803073WE,158,21.12,0,158
2015,2015,1803073WPD,1803073WE,5908.805556,18.42676157,0,5908.805556
2015,2015,1803073WTREC,1803073WNPD,158,0,236,0
2015,2015,1803077NPD,1803077E,12441.27134,21.12,0,12441.27134
2015,2015,1803077PD,1803077E,17877.49928,17.6,0,17877.49928
2015,2015,1803077SREC,1803077NPD,12441.27134,0,0,0
2015,2015,1803079PD,1803079E,9844.163623,17.6,0,9844.163623
2015,2015,1803081NPD,1803081E,1531.375037,21.12,0,1531.375037
2015,2015,1803081PD,1803081E,3449.399255,17.6,0,3449.399255
2015,2015,1803081SREC,1803081NPD,1531.375037,0,0,0
2015,2015,1803083NPD,1803083E,5921,21.12,0,5921
2015,2015,1803083PD,1803083E,16542,17.6,0,16542
2015,2015,1803083SREC,1803083NPD,1460,0,0,0
2015,2015,1804000NPD,1804000E,622,17.6,0,622
2015,2015,1804000PD,1804000E,3943,17.6,0,3943
2015,2015,1804000TREC,1804000NPD,622,0,0,0
2015,2015,1804001NPD,1804001E,331.4398878,20.17481481,0,331.4398878
2015,2015,1804001PD,1804001E,13785.44422,17.6,0,13785.44422
2015,2015,1804001TREC,1804001NPD,242.4421402,0,236,0
2015,2015,1804005GW,1804055NPD,570,241,0,0
2015,2015,1804005GW,1804055PD,3572,241,26,0
2015,2015,1804007NPD,1804007E,1221.325298,21.12,0,1221.325298
2015,2015,1804007PD,1804007E,8096.284686,17.6,0,8096.284686
2015,2015,1804007TREC,1804007NPD,400.0233935,0,236,0
2015,2015,1804009NPD,1804009E,2307,18.12487213,0,2307
2015,2015,1804009PD,1804009E,4133,17.6,0,4133
2015,2015,1804009TREC,1804009NPD,344,0,236,0
2015,2015,1804011PD,1804011E,22090,112,0,22090
2015,2015,1804013NPD,1804013E,174.4969632,17.6,0,174.4969632
2015,2015,1804013PD,1804013E,6458.47448,17.6,0,6458.47448
2015,2015,1804015PD,1804015E,2783.48128,17.6,0,2783.48128
2015,2015,1804017PD,1804017E,4577.860006,17.6,0,4577.860006
2015,2015,1804019PD,1804019E,2614.692448,17.6,0,2614.692448
2015,2015,1804021NPD,1804021E,603,21.12,0,603
2015,2015,1804021PD,1804021E,4163,17.6,0,4163
2015,2015,1804021SREC,1804021NPD,603,0,0,0
2015,2015,1804023NPD,1804023E,128.8932897,21.12,0,128.8932897
2015,2015,1804023SREC,1804023NPD,128.8932897,0,0,0
2015,2015,1804027NPD,1804027E,429,21.12,0,429
2015,2015,1804027PD,1804027E,3445,17.6,0,3445
2015,2015,1804027SREC,1804027NPD,429,0,0,0
2015,2015,1804031NPD,1804031E,4398,21.12,0,4398
2015,2015,1804031PD,1804031E,14080,17.6,0,14080
2015,2015,1804031SREC,1804031NPD,3658,0,0,0
2015,2015,1804031TREC,1804031NPD,740,0,236,0
2015,2015,1804033PD,1804033E,6660,17.6,0,6660
2015,2015,1804035PD,1804035E,9314,17.6,0,9314
2015,2015,1804037NPD,1804037E,3073,21.12,0,3073
2015,2015,1804037PD,1804037E,11234,17.6,0,11234
2015,2015,1804037SREC,1804037NPD,1455,25,0,0
2015,2015,1804037TREC,1804037NPD,8,0,236,0
2015,2015,1804039NPD,1804039E,7539,21.12,0,7539
2015,2015,1804039PD,1804039E,17853,17.6,0,17853
2015,2015,1804039TREC,1804039NPD,7539,0,236,0
2015,2015,1804043IMP,1804043PD,13614.14206,25,0,0
2015,2015,1804043PD,1804043E,47459,17.6,0,47459
2015,2015,1804044PD,1804044E,2394,17.6,0,2394
2015,2015,1804045NPD,1804045E,1236.761804,21.12,0,1236.761804
2015,2015,1804045PD,1804045E,1899.641579,17.6,0,1899.641579
2015,2015,1804045SREC,1804045NPD,1236.761804,0,0,0
2015,2015,1804051NPD,1804051E,216,17.6,0,216
2015,2015,1804051PD,1804051E,3000,17.6,0,3000
2015,2015,1804055NPD,1804055E,570,21.12,0,570
2015,2015,1804055PD,1804055E,7450,17.6,0,7450
2015,2015,1804061WIMP,1804061WPD,225000,0,224,0
2015,2015,1804061WPD,1804027PD,241,25,0,0
2015,2015,1804061WPD,1804037PD,5595.501914,25,0,0
2015,2015,1804061WPD,1804044PD,760.6454018,25,0,0
2015,2015,1804061WPD,1804061WE,225000,21.12,0,225000
2015,2015,1804061WPD,1804065PD,3511.551611,25,0,0
2015,2015,1804062PD,1804062E,26320,17.6,0,26320
2015,2015,1804063WIMP,1804063WPD,33923,0,224,0
